Frequency,ExpectedPeak2Peak,RealPeak2Peak,RealGain
431000.0 ,60.00            ,23.00        ,7.66667
432000.0 ,60.00            ,23.00        ,7.66667
433000.0 ,60.00            ,23.00        ,7.66667
434000.0 ,60.00            ,23.00        ,7.66667
435000.0 ,60.00            ,23.00        ,7.66667
436000.0 ,60.00            ,23.00        ,7.66667
437000.0 ,60.00            ,23.00        ,7.66667
438000.0 ,60.00            ,23.00        ,7.66667
439000.0 ,60.00            ,23.00        ,7.66667
440000.0 ,60.00            ,23.00        ,7.66667
441000.0 ,60.00            ,23.00        ,7.66667
442000.0 ,60.00            ,23.00        ,7.66667
443000.0 ,60.00            ,23.00        ,7.66667
444000.0 ,60.00            ,23.00        ,7.66667
445000.0 ,60.00            ,23.00        ,7.66667
446000.0 ,60.00            ,23.00        ,7.66667
447000.0 ,60.00            ,23.00        ,7.66667
448000.0 ,60.00            ,23.00        ,7.66667
449000.0 ,60.00            ,23.00        ,7.66667
450000.0 ,60.00            ,23.00        ,7.66667
451000.0 ,60.00            ,22.00        ,7.33333
452000.0 ,60.00            ,22.00        ,7.33333
453000.0 ,60.00            ,22.00        ,7.33333
454000.0 ,60.00            ,22.00        ,7.33333
455000.0 ,60.00            ,22.00        ,7.33333
456000.0 ,60.00            ,22.00        ,7.33333
457000.0 ,60.00            ,22.00        ,7.33333
458000.0 ,60.00            ,22.00        ,7.33333
459000.0 ,60.00            ,22.00        ,7.33333
460000.0 ,60.00            ,22.00        ,7.33333
461000.0 ,60.00            ,22.00        ,7.33333
462000.0 ,60.00            ,22.00        ,7.33333
463000.0 ,60.00            ,22.00        ,7.33333
464000.0 ,60.00            ,22.00        ,7.33333
465000.0 ,60.00            ,22.00        ,7.33333
466000.0 ,60.00            ,22.00        ,7.33333
467000.0 ,60.00            ,22.00        ,7.33333
468000.0 ,60.00            ,22.00        ,7.33333
469000.0 ,60.00            ,22.00        ,7.33333
470000.0 ,60.00            ,22.00        ,7.33333
471000.0 ,60.00            ,22.00        ,7.33333
472000.0 ,60.00            ,22.00        ,7.33333
473000.0 ,60.00            ,22.00        ,7.33333
474000.0 ,60.00            ,22.00        ,7.33333
475000.0 ,60.00            ,22.00        ,7.33333
476000.0 ,60.00            ,22.00        ,7.33333
477000.0 ,60.00            ,22.00        ,7.33333
478000.0 ,60.00            ,21.00        ,7.00000
479000.0 ,60.00            ,21.00        ,7.00000
480000.0 ,60.00            ,21.00        ,7.00000
481000.0 ,60.00            ,21.00        ,7.00000
482000.0 ,60.00            ,21.00        ,7.00000
483000.0 ,60.00            ,21.00        ,7.00000
484000.0 ,60.00            ,21.00        ,7.00000
485000.0 ,60.00            ,21.00        ,7.00000
486000.0 ,60.00            ,21.00        ,7.00000
487000.0 ,60.00            ,21.00        ,7.00000
488000.0 ,60.00            ,21.00        ,7.00000
489000.0 ,60.00            ,21.00        ,7.00000
490000.0 ,60.00            ,21.00        ,7.00000
491000.0 ,60.00            ,21.00        ,7.00000
492000.0 ,60.00            ,21.00        ,7.00000
493000.0 ,60.00            ,21.00        ,7.00000
494000.0 ,60.00            ,21.00        ,7.00000
495000.0 ,60.00            ,21.00        ,7.00000
496000.0 ,60.00            ,21.00        ,7.00000
497000.0 ,60.00            ,21.00        ,7.00000
498000.0 ,60.00            ,21.00        ,7.00000
499000.0 ,60.00            ,21.00        ,7.00000
